"bc_code","bc_name","year","PVDA","MPP","DENK","BIJ1","imm_Sur","imm_Ant","imm_Tur","imm_Mar","imm_otherNW","imm_W","imm_autoch","age_0t18","age_18t26","age_27t65","age_66plus","unempl","BEVPOTBBV15-64","WCORHUUR","edu_low","edu_mid","edu_high","housing_soc","employ","bc_combined","WWB","MCparties","turnout","housing_soc_delta2005","housing_soc_delta2009","housing_soc_delta2013","housing_soc_delta","housing_pub_delta","PVDA_delta2006","PVDA_delta2010","PVDA_delta2014","PVDA_delta","year_BCvars"
"T98","Driemond",2010,18.72,NA,NA,NA,3.04837640821736,0.795228628230616,0.397614314115308,0.265076209410205,2.3194168323393,8.48243870112657,84.6918489065606,23.6580516898608,7.42213386348575,56.2624254473161,13.8502319416832,NA,66.3353214049039,NA,NA,NA,NA,NA,9,0,0.899100899100899,NA,51.8672199170125,NA,NA,NA,NA,NA,-1.33856515373353,NA,NA,-1.33856515373353,2009
"T98","Driemond",2014,9.85221674876847,0,NA,NA,4.12719891745602,1.21786197564276,0.47361299052774,0.6765899864682,1.96211096075778,8.7956698240866,82.7469553450609,23.8836265223275,8.99864682002706,54.0595399188092,14.4790257104195,5.77507598784195,65.3585926928281,44.0705128205128,27,48,24,48,15,0,1.5527950310559,0,50.4556752278376,NA,NA,NA,NA,NA,-10.2063484049651,-8.86778325123153,NA,-8.86778325123153,2013
"T98","Driemond",2018,9.26470588235294,NA,1.02941176470588,0.735294117647059,4.39344262295082,0.983606557377049,0.524590163934426,0.983606557377049,1.50819672131148,9.63934426229508,81.9672131147541,23.016393442623,8.65573770491803,53.9016393442623,15.7377049180328,8.02775024777007,65.1147540983607,38.7658227848101,26,43,30,37,25,0,2.51762336354481,1.76470588235294,54.6184738955823,NA,NA,-11,-11,-5.30469003570269,-10.7938592713806,-9.45529411764706,-0.587510866415531,-0.587510866415531,2017
"F79","Eendracht",2006,46.4492753623188,NA,NA,NA,9.52584365655703,0.683468603161042,5.16873131140538,4.86971379752243,5.46774882528834,13.2422041862452,61.0422896198206,23.8786843229389,9.39769329346433,57.069628363947,10.9782144382742,NA,70.2691157624947,NA,NA,NA,NA,53,44,0,2.67477203647416,NA,50.309879693766,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
"F79","Eendracht",2010,35.6923076923077,NA,NA,NA,9.95744680851064,0.808510638297872,8.51063829787234,7.57446808510638,7.23404255319149,12,53.9148936170213,22.2978723404255,12.6808510638298,56.1276595744681,11.0212765957447,NA,72.3404255319149,NA,NA,NA,NA,45,37,0,2.17647058823529,NA,44.9308755760369,-8.00000000000001,NA,NA,-8.00000000000001,NA,-10.7569676700112,NA,NA,-10.7569676700112,2009
"F79","Eendracht",2014,25.41567695962,6.29453681710214,NA,NA,9.30431071276142,0.89628681177977,10.8408023900982,8.79214682031583,7.34101579172002,13.1455399061033,49.6798975672215,19.3768672641912,13.1455399061033,55.868544600939,12.84677763551,7.95053003533569,70.8066581306018,54.2918454935622,29,45,26,33,46,0,2.77275467148885,6.29453681710214,42.9811128126595,-20,-12,NA,-12,NA,-21.0335984026989,-10.2766307326877,NA,-10.2766307326877,2013
"F79","Eendracht",2018,9.29866036249015,NA,21.9070133963751,1.02442868400315,7.43600162535555,1.09711499390492,14.4656643640796,11.4993904916701,8.37058106460788,14.0593254774482,43.0719219829338,19.8699715562779,13.3685493701747,55.0589191385616,13.0434782608696,8.44748858447489,69.9715562779358,48.9817792068596,32,44,24,NA,39,0,2.26480836236934,22.9314420803783,43.0753564154786,NA,NA,NA,NA,-5.31006628670264,-37.1506149998287,-26.3936473298175,-16.1170165971298,-16.1170165971298,2017
"E38","Erasmuspark",2006,46.5943600867679,NA,NA,NA,4.69186371253025,1.02401787376652,12.6978216347049,14.4665797803016,7.00055855520387,12.4743995531558,47.644758890337,18.9908769316701,17.7434369763545,57.065723328989,7.20536212995718,NA,76.4848259169615,NA,NA,NA,NA,71,303,0,7.37585199610516,NA,50.939226519337,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
"E38","Erasmuspark",2010,31.1397849462366,NA,NA,NA,3.50750316398481,0.940155487253661,11.3541854999096,11.80618333032,7.62972337732779,14.4277707467004,50.3344783945037,16.9589585969987,17.1035979027301,60.2784306635328,6.52684867112638,NA,79.0634604953896,NA,NA,NA,NA,54,231,0,5.28241481820261,NA,45.5971759168464,-17,NA,NA,-17,NA,-15.4545751405313,NA,NA,-15.4545751405313,2009
"E38","Erasmuspark",2014,20.360970107163,4.23011844331641,NA,NA,3.0732044198895,0.93232044198895,9.56491712707182,11.2223756906077,7.61395027624309,16.5227900552486,51.0704419889503,16.8853591160221,15.5732044198895,62.1201657458563,6.21546961325967,9.06724511930586,78.9882596685083,19.4078947368421,25,29,46,53,192,0,4.19672131147541,4.23011844331641,42.6406926406926,-18,-1,NA,-1,NA,-26.2333899796049,-10.7788148390736,NA,-10.7788148390736,2013
"E38","Erasmuspark",2018,9.26136363636364,NA,16.5340909090909,1.59090909090909,2.68863833477884,0.919340849956635,8.29141370338248,9.99132697311362,7.73633998265395,17.4674761491761,52.9054640069384,14.9176062445794,15.091066782307,63.3130962705984,7.12922810060711,8.75406283856988,79.6357328707719,17.0157068062827,17,25,58,46,173,0,3.76824221302548,18.125,46.7091295116773,-25,-8,-7,-7,-2.39218793055938,-37.3329964504043,-21.8784213098729,-11.0996064707994,-11.0996064707994,2017
"M55+M58","Frankendael + De Omval/Overamstel",2006,35.2324146441794,NA,NA,NA,5.92847580799388,0.841461082424938,2.57219353604896,7.1619812583668,5.66073819085867,13.5685599541021,64.2665901702046,16.4084911072863,13.1191432396252,55.8328552304456,15.5765920826162,NA,70.6062344616561,NA,NA,NA,NA,66.541294854756,498,1,6.74431202600217,NA,54.5128377620809,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
"M55+M58","Frankendael + De Omval/Overamstel",2010,26.5797788309637,NA,NA,NA,5.5774841256221,1.34717693495795,2.22241290544019,6.71872318517247,6.89891882615411,14.7932040501115,62.4420799725416,13.6519649905612,22.9534923631371,50.6950403295006,13.6948687146044,NA,75.0300326068303,NA,NA,NA,NA,77.5540643587006,434,1,4.96340347666972,NA,50.9405492405191,11.0127695039446,NA,NA,11.0127695039446,NA,-8.65263581321569,NA,NA,-8.65263581321569,2009
"M55+M58","Frankendael + De Omval/Overamstel",2014,17.9154457932189,0.439514441188782,NA,NA,6.27714845413508,1.79712119921642,2.2825994378673,6.61783493739886,7.55472276637424,15.2372029639724,60.2333702410357,14.3514181074866,24.3420492291968,50.2427391193254,12.3243335320671,9.37290783307297,75.2576441529682,65.8892566957568,22.0427614631633,35.2673879443586,42.6898505924781,58.5126391814625,419,1,4.74196468990493,0.439514441188782,49.4873122734335,-8.0286556732935,-19.0414251772381,NA,-19.0414251772381,NA,-17.3169688509604,-8.66433303774474,NA,-8.66433303774474,2013
"M55+M58","Frankendael + De Omval/Overamstel",2018,10.4121808674254,NA,2.87603814211012,1.4457090126115,4.83870967741935,1.69032258064516,1.85806451612903,5.15483870967742,11.1096774193548,17.1225806451613,58.2258064516129,13.0967741935484,27.8709677419355,49.2451612903226,10.6516129032258,8.51569543480043,77.8774193548387,37.3824451410658,15.2262484774665,32.5158343483557,51.5723964677223,69.372145096283,541,1,4.48181592245879,4.32174715472162,53.2209216665302,2.83085024152699,-8.18191926241759,10.8595059148205,10.8595059148205,-28.506811554691,-24.8202337767539,-16.1675979635383,-7.50326492579351,-7.50326492579351,2017
"E16","Frederik Hendrikbuurt",2006,31.9866258010588,NA,NA,NA,3.9344262295082,0.773770491803279,2.42622950819672,7.40983606557377,7.92131147540984,17.416393442623,60.1180327868852,13.0360655737705,10.3475409836066,68.8524590163934,8.27540983606557,NA,79.8295081967213,NA,NA,NA,NA,NA,513,0,8.42779694430754,NA,52.6477922839959,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
"E16","Frederik Hendrikbuurt",2010,26.5927977839335,NA,NA,NA,3.66225839267548,0.902848423194303,1.94557477110885,6.85401831129196,8.10020345879959,18.5401831129196,59.9949135300102,12.9450661241099,12.7924720244151,66.6200406917599,8.20193285859613,NA,80.4679552390641,NA,NA,NA,NA,NA,436,0,6.89001264222503,NA,57.0120025268478,NA,NA,NA,NA,NA,-5.39382801712527,NA,NA,-5.39382801712527,2009
